ponto_id,longitude,latitude,item_id,data_aquisicao,tile,nuvens_item_pct,resolucao_m,pixels_total,pixels_validos,fracao_valida,ndvi_media,ndvi_mediana,ndvi_p90,fracao_vegetacao_densa,periodo
P027,-45.9053188,-23.2246019,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.06697143614292145,0.0602409653365612,0.1072380319237709,0.0,2024
P028,-45.9038062,-23.2231899,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.10927459597587585,0.09339647740125656,0.1930454820394516,0.0,2024
P029,-45.9011783,-23.2210474,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.07620879262685776,0.0732278823852539,0.12443254142999649,0.0,2024
P030,-45.8994403,-23.2193674,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.09297473728656769,0.063048355281353,0.1736888289451599,0.0,2024
P031,-45.8967109,-23.2166133,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.10878308862447739,0.08459483832120895,0.24820703268051147,0.0,2024
P032,-45.8921681,-23.2123262,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.1096130982041359,0.09983079880475998,0.20187591016292572,0.0,2024
P033,-45.8876504,-23.2081222,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.15477539598941803,0.11279262602329254,0.32630401849746704,0.04424778761061947,2024
P034,-45.8838996,-23.2046542,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.08581719547510147,0.08116084337234497,0.15572504699230194,0.0,2024
P035,-45.8784615,-23.1996111,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.15315929055213928,0.12041884660720825,0.351857453584671,0.0,2024
P036,-45.8773358,-23.1986594,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.1760590672492981,0.12707678973674774,0.37964552640914917,0.0,2024
P037,-45.876045,-23.1977746,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.18951308727264404,0.16114982962608337,0.30373379588127136,0.0,2024
P038,-45.8747831,-23.197066,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.19183485209941864,0.17534537613391876,0.3212090730667114,0.0,2024
P039,-45.8734504,-23.196169,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.1326918751001358,0.10341726988554001,0.2950733006000519,0.0,2024
P040,-45.8715213,-23.1952891,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.1360153704881668,0.11170808225870132,0.2791709005832672,0.0,2024
P041,-45.8701988,-23.1945064,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.12953104078769684,0.10532175749540329,0.23834861814975739,0.0,2024
P042,-45.8686602,-23.1937087,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.13897092640399933,0.11815181374549866,0.2547306716442108,0.0,2024
P043,-45.8664561,-23.1926438,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.19364939630031586,0.1784738302230835,0.33398669958114624,0.0,2024
P044,-45.8650608,-23.1919238,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.16519691050052643,0.14995752274990082,0.27601638436317444,0.0,2024
P045,-45.8636874,-23.1912501,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.2397555261850357,0.26598578691482544,0.36106324195861816,0.0,2024
P046,-45.8590924,-23.1889735,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.18272432684898376,0.1928660273551941,0.2766757607460022,0.0,2024
P047,-45.8575626,-23.1883802,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.10030907392501831,0.0746268630027771,0.24021732807159424,0.0,2024
P048,-45.8546778,-23.1867795,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.1356363147497177,0.1144067794084549,0.23216784000396729,0.0,2024
P049,-45.8524734,-23.1856714,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.13135074079036713,0.11627907305955887,0.22006303071975708,0.0,2024
P050,-45.8454424,-23.182137,S2A_MSIL2A_20240823T131241_R138_T23KMQ_20240823T194758,2024-08-23,23KMQ,0.002999,10.0,113,113,1.0,0.11767750233411789,0.10822510719299316,0.18059486150741577,0.0,2024
