ponto_id,longitude,latitude,fracao_valida_anterior,fracao_valida_atual,fracao_vegetacao_densa_anterior,fracao_vegetacao_densa_atual,ndvi_media_anterior,ndvi_media_atual,ndvi_mediana_anterior,ndvi_mediana_atual,ndvi_p90_anterior,ndvi_p90_atual,pixels_validos_anterior,pixels_validos_atual,delta_ndvi_media,delta_fracao_densa,indice_prioridade_0_100,prioridade_inspecao,criterio_rotulo
P077,-45.7780079,-23.1482708,1.0,1.0,0.0,0.0,0.2468342036008834,0.2424312531948089,0.2645988464355469,0.25947105884552,0.3745765089988708,0.3680539429187774,113,113,-0.004402950406074496,0.0,56.0,media,ndvi_p90_atual=0.368; delta_ndvi=-0.004
P092,-45.74995,-23.1342833,1.0,1.0,0.0,0.0,0.2374776601791381,0.2469130009412765,0.2490782439708709,0.2610038518905639,0.3235982060432434,0.3483134806156158,113,113,0.009435340762138394,0.0,55.3,media,ndvi_p90_atual=0.348; delta_ndvi=0.009
P039,-45.8734504,-23.196169,1.0,1.0,0.0,0.0,0.1326918751001358,0.138003796339035,0.10341726988554,0.0984701588749885,0.2950733006000519,0.3453264832496643,113,113,0.005311921238899203,0.0,54.0,media,ndvi_p90_atual=0.345; delta_ndvi=0.005
P036,-45.8773358,-23.1986594,1.0,1.0,0.0,0.0,0.1760590672492981,0.1484160274267196,0.1270767897367477,0.100043311715126,0.3796455264091491,0.379848450422287,113,113,-0.027643039822578486,0.0,53.4,media,ndvi_p90_atual=0.380; delta_ndvi=-0.028
P043,-45.8664561,-23.1926438,1.0,1.0,0.0,0.0,0.1936493963003158,0.1928211152553558,0.1784738302230835,0.1711026579141616,0.3339866995811462,0.3459488749504089,113,113,-0.0008282810449599942,0.0,52.9,media,ndvi_p90_atual=0.346; delta_ndvi=-0.001
P055,-45.8336041,-23.1761886,1.0,1.0,0.0,0.0,0.183932289481163,0.1911146491765976,0.1729667782783508,0.165853664278984,0.2789302170276642,0.336048424243927,113,113,0.007182359695434598,0.0,52.7,media,ndvi_p90_atual=0.336; delta_ndvi=0.007
P038,-45.8747831,-23.197066,1.0,1.0,0.0,0.0,0.1918348520994186,0.1652147769927978,0.1753453761339187,0.1095406338572502,0.3212090730667114,0.3718307614326477,113,113,-0.026620075106620816,0.0,52.2,media,ndvi_p90_atual=0.372; delta_ndvi=-0.027
P078,-45.7760619,-23.1474184,1.0,1.0,0.0,0.0,0.2150436341762542,0.2206761538982391,0.2173553705215454,0.2262888699769973,0.3049475848674774,0.3341331481933594,113,113,0.005632519721984919,0.0,52.1,media,ndvi_p90_atual=0.334; delta_ndvi=0.006
P082,-45.7683161,-23.1433887,1.0,1.0,0.0,0.0,0.2194411307573318,0.2278401404619217,0.2296860069036483,0.2355777770280838,0.3029551804065704,0.3230719268321991,113,113,0.0083990097045899,0.0,50.7,media,ndvi_p90_atual=0.323; delta_ndvi=0.008
P066,-45.8019397,-23.1603456,1.0,1.0,0.0,0.0,0.2055527716875076,0.2164642363786697,0.2154039889574051,0.2225082814693451,0.2780190408229828,0.3176969587802887,113,113,0.01091146469116211,0.0,50.3,media,ndvi_p90_atual=0.318; delta_ndvi=0.011
